ID,Company,Location,Sector,Designation,Job Description,Salary
1,improwise,"Bengaluru Area, India",Human Resources,Instructional Designer : Bangalore Based,"Seeking instructional designer: A project is beginning to create a tool kit (Do It Yourself) to aid implementation of people practices at workplace through workshops.  These workshops will help train individuals in people practices such as performance management, succession management.  The resulting documents need to be professionally designed, engaging and effective material. It will include sto...",No salary provided
2,COGXIO.COM,"Bengaluru Area, India","Consumer Services, Internet, Research",UI/UX Designer,"Summary : If you’ve built  mobile products which you believe are on the cutting edge of UI design; if you are fanatical about improving user experience and in doing so making the world a better place; and if you are excited about working on a product where the world is your market, we would love to meet you. Job Description: ? Ability to understand user behavior and identify actionable user insigh...",No salary provided
3,Timesaverz Dotcom Pvt. Ltd.,"Bengaluru Area, India",Internet,Procurement Coordinator,"Procurement Coordinator - Bangalore As a Procurement Ccordinator you will be responsible for sourcing and managing vendors for various service categories and find more profitable suppliers. You KRAs would be linked to : Develop, lead and execute procurement strategies Track and report key functional metrics to reduce expenses and improve effectiveness Craft negotiation strategies and close deals w...",No salary provided
4,whatfix,"Bengaluru Area, India",Internet,UX / UI Designer,"At whatfix we are looking for UX designer who can re-think how online help is consumed and created. We are building a product which will disrupt online consumptions of How-Tos, product support and trainings, and you would play a significant role in bridging the gap between consumption and technology.   You’ll be working closely with the Founders, Community Managers, Marketing and Technical team to...",No salary provided
5,PurpleRain,"Bengaluru Area, India",Internet,Wordpress Developer,"We’re looking for that rare individual with creative instinct to design incredible user experiences as well as the technical front end ability to assist with implementing them.If you’re interested the following we might have a great opportunity for you at PurpleRain. Designing, delivering and measuring better user experiences for some of the fast growing sites. Working closely with a small, proven...",No salary provided
6,Gizmocode Techsolutions LLP,"Bengaluru Area, India",Information Technology and Services,IOS Application Developer,"Responsibilities:Design and build advanced applications for the iOS platformCollaborate with cross-functional teams to define, design, and ship new features.Unit-test code for robustness, including edge cases, usability, and general reliability.Work on bug fixing and improving application performance.Continuously discover, evaluate, and implement new technologies to maximize development efficiency...",No salary provided
7,Tagos Design Innovations Pvt. Ltd,"Bengaluru Area, India",Information Technology and Services,Content Writer," You will work closely with the team to generate ideas and content for our platform. This is a key role for a hands-on person who can seamlessly switch modes, generating winning, original ideas one minute, then taking fingers to keyboard and editing features, and crafting new posts.   Generate ideas alongside other teams – to conceive of dynamic, engaging content. Represent the brand at market eve...",No salary provided
8,Fabmart,"Bengaluru Area, India",Retail,Digital Sales Associate:," We are looking for a person to take responsibility of our digital sales initiative spread across categories offered by fabmart. Key Roles and Responsibilities: Lead generation and sales. Chat with customers and assist them in buying products which would benefit them. Outstanding communication skills (written and oral). Ability to work independently with little or no instruction, as well as an abi...",No salary provided
9,iVolunteer,"Bengaluru Area, India",Nonprofit Organization Management,Volunteer Master Storyteller and Copywriter,"Your 'Communication Skills' can change lives!   What’s the challenge: iVolunteer is a social enterprise that promotes volunteering. We bring volunteers and organisations together to share Time, Skills and Passion to promote India's social development. We envision a nation where individuals pitch in and actively participate in India's social development.   We need help with conveying this sentiment...",No salary provided
10,CloudThat Technologies Pvt Ltd,"Bengaluru Area, India",Computer Software,Sales Associate,"This opening is in our training division, which focuses on conducting regular batches for individual professionals and corporate clients. Key responsibilities include; Handle individual enquiries for public batches. (Web, Calls, email, walkins) Handle corporate enquiries Managing  training calendar Participate in road shows, exhibitions etc occasionally to explore new opportunities Achieve assigne...",No salary provided
11,Gizmocode Techsolutions LLP,"Bengaluru Area, India",Information Technology and Services,IOS Application Developer,"Responsibilities:Design and build advanced applications for the iOS platformCollaborate with cross-functional teams to define, design, and ship new features.Unit-test code for robustness, including edge cases, usability, and general reliability.Work on bug fixing and improving application performance.Continuously discover, evaluate, and implement new technologies to maximize development efficiency...",No salary provided
12,Tagos Design Innovations Pvt. Ltd,"Bengaluru Area, India",Information Technology and Services,Content Writer," You will work closely with the team to generate ideas and content for our platform. This is a key role for a hands-on person who can seamlessly switch modes, generating winning, original ideas one minute, then taking fingers to keyboard and editing features, and crafting new posts.   Generate ideas alongside other teams – to conceive of dynamic, engaging content. Represent the brand at market eve...",No salary provided
13,Fabmart,"Bengaluru Area, India",Retail,Digital Sales Associate:," We are looking for a person to take responsibility of our digital sales initiative spread across categories offered by fabmart. Key Roles and Responsibilities: Lead generation and sales. Chat with customers and assist them in buying products which would benefit them. Outstanding communication skills (written and oral). Ability to work independently with little or no instruction, as well as an abi...",No salary provided
14,iVolunteer,"Bengaluru Area, India",Nonprofit Organization Management,Volunteer Master Storyteller and Copywriter,"Your 'Communication Skills' can change lives!   What’s the challenge: iVolunteer is a social enterprise that promotes volunteering. We bring volunteers and organisations together to share Time, Skills and Passion to promote India's social development. We envision a nation where individuals pitch in and actively participate in India's social development.   We need help with conveying this sentiment...",No salary provided
15,CloudThat Technologies Pvt Ltd,"Bengaluru Area, India",Computer Software,Sales Associate,"This opening is in our training division, which focuses on conducting regular batches for individual professionals and corporate clients. Key responsibilities include; Handle individual enquiries for public batches. (Web, Calls, email, walkins) Handle corporate enquiries Managing  training calendar Participate in road shows, exhibitions etc occasionally to explore new opportunities Achieve assigne...",No salary provided
