Title,Example,Commodity Title
Chief Executives,Adobe Systems Adobe Acrobat,Document management software
Chief Executives,AdSense Tracker,Data base user interface and query software
Chief Executives,Atlassian JIRA,Content workflow software
Chief Executives,Blackbaud The Raiser's Edge,Customer relationship management CRM software
Chief Executives,ComputerEase Construction Accounting,Accounting software
Chief Executives,Database reporting software,Data base reporting software
Chief Executives,Databox,Data base user interface and query software
Chief Executives,Email software,Electronic mail software
Chief Executives,Enterprise resource planning ERP software,Enterprise resource planning ERP software
Chief Executives,Exact Software Macola ES Labor Performance,Time accounting software
Chief Executives,Extensible markup language XML,Enterprise application integration software
Chief Executives,Fund accounting software,Accounting software
Chief Executives,Graphic presentation software,Graphics or photo imaging software
Chief Executives,Halogen e360,Human resources software
Chief Executives,Halogen ePraisal,Human resources software
Chief Executives,HCSS HeavyBid,Project management software
Chief Executives,HCSS HeavyJob,Project management software
Chief Executives,Human resource information system HRIS,Human resources software
Chief Executives,Infor SSA Human Capital Management,Human resources software
Chief Executives,Intuit QuickBooks,Accounting software
Chief Executives,Listserv software,Electronic mail software
Chief Executives,Lyris HQ Web-Analytics Solution,Analytical or scientific software
Chief Executives,Microsoft Access,Data base user interface and query software
Chief Executives,Microsoft Dynamics,Enterprise resource planning ERP software
Chief Executives,Microsoft Dynamics AX,Enterprise resource planning ERP software
Chief Executives,Microsoft Dynamics GP,Enterprise resource planning ERP software
Chief Executives,Microsoft Excel,Spreadsheet software
Chief Executives,Microsoft FRx,Financial analysis software
Chief Executives,Microsoft Office,Office suite software
Chief Executives,Microsoft Outlook,Electronic mail software
Chief Executives,Microsoft PowerPoint,Presentation software
Chief Executives,Microsoft Project,Project management software
Chief Executives,Microsoft Publisher,Desktop publishing software
Chief Executives,Microsoft SharePoint,Project management software
Chief Executives,Microsoft Word,Word processing software
Chief Executives,Nedstat Sitestat,Analytical or scientific software
Chief Executives,Norchard Solutions Succession Wizard,Time accounting software
Chief Executives,Online advertising reporting software,Analytical or scientific software
Chief Executives,Oracle E-Business Suite,Enterprise resource planning ERP software
Chief Executives,Oracle PeopleSoft,Enterprise resource planning ERP software
Chief Executives,Oracle Siebel Server Sync,Customer relationship management CRM software
Chief Executives,PHP: Hypertext Preprocessor,Web platform development software
Chief Executives,Relational database management software,Data base management system software
Chief Executives,Sage 50 Accounting,Accounting software
Chief Executives,SAP,Enterprise resource planning ERP software
Chief Executives,SmugMug Flickr,Graphics or photo imaging software
Chief Executives,Structured query language SQL,Data base user interface and query software
Chief Executives,Web browser software,Internet browser software
Chief Sustainability Officers,Email software,Electronic mail software
Chief Sustainability Officers,Microsoft Access,Data base user interface and query software
Chief Sustainability Officers,Microsoft Dynamics GP,Enterprise resource planning ERP software
Chief Sustainability Officers,Microsoft Excel,Spreadsheet software
Chief Sustainability Officers,Microsoft Office,Office suite software
Chief Sustainability Officers,Microsoft PowerPoint,Presentation software
Chief Sustainability Officers,Microsoft Project,Project management software
Chief Sustainability Officers,Microsoft Word,Word processing software
Chief Sustainability Officers,SAP,Enterprise resource planning ERP software
Chief Sustainability Officers,Scheduling software,Calendar and scheduling software
Chief Sustainability Officers,Teleconferencing software,Video conferencing software
Chief Sustainability Officers,Web browser software,Internet browser software
General and Operations Managers,ActionWare,Customer relationship management CRM software
General and Operations Managers,Adobe Systems Adobe Acrobat,Document management software
General and Operations Managers,Adobe Systems Adobe Photoshop,Graphics or photo imaging software
General and Operations Managers,ADP Workforce Now,Human resources software
General and Operations Managers,Amazon Web Services AWS software,Data base user interface and query software
General and Operations Managers,AMG Teleran SalesInSync,Customer relationship management CRM software
General and Operations Managers,Apache Hadoop,Data base management system software
General and Operations Managers,Apple Final Cut Pro,Video creation and editing software
General and Operations Managers,Apple macOS,Operating system software
General and Operations Managers,Atlassian JIRA,Content workflow software
General and Operations Managers,Autodesk AutoCAD,Computer aided design CAD software
General and Operations Managers,Avidian Technologies Prophet,Customer relationship management CRM software
General and Operations Managers,Blackbaud The Raiser's Edge,Customer relationship management CRM software
General and Operations Managers,Blackboard,Data base user interface and query software
General and Operations Managers,CA Erwin Data Modeler,Metadata management software
General and Operations Managers,Calendar and scheduling software,Calendar and scheduling software
General and Operations Managers,Citrix,Access software
General and Operations Managers,CNC Mastercam,Computer aided manufacturing CAM software
General and Operations Managers,Computer aided manufacturing CAM software,Computer aided manufacturing CAM software
General and Operations Managers,Confluence,Project management software
General and Operations Managers,Customer information control system CICS,Transaction server software
General and Operations Managers,Data entry software,Data base user interface and query software
General and Operations Managers,Datawatch Monarch,Data mining software
General and Operations Managers,Deacom ERP,Enterprise resource planning ERP software
General and Operations Managers,Delphi Technology,Financial analysis software
General and Operations Managers,Dynamic Energy Systems MedAct,Medical software
General and Operations Managers,Extensible markup language XML,Enterprise application integration software
General and Operations Managers,Facebook,Web page creation and editing software
General and Operations Managers,FileMaker Pro,Data base user interface and query software
General and Operations Managers,Fund accounting software,Accounting software
General and Operations Managers,Geographic information system GIS software,Map creation software
General and Operations Managers,Google AdWords,Sales and marketing software
General and Operations Managers,Google Analytics,Data mining software
General and Operations Managers,Google Docs,Word processing software
General and Operations Managers,Google Drive,Office suite software
General and Operations Managers,HEAT Software GoldMine,Customer relationship management CRM software
General and Operations Managers,Human resource management software HRMS,Human resources software
General and Operations Managers,Human resources software,Human resources software
General and Operations Managers,IBM Cognos Impromptu,Business intelligence and data analysis software
General and Operations Managers,IBM Domino,Communications server software
General and Operations Managers,IBM InfoSphere DataStage,Enterprise application integration software
General and Operations Managers,IBM Notes,Electronic mail software
General and Operations Managers,IBM Power Systems software,Enterprise system management software
General and Operations Managers,IBM SPSS Statistics,Analytical or scientific software
General and Operations Managers,InnQuest Software roomMaster,Facilities management software
General and Operations Managers,Intuit QuickBooks,Accounting software
General and Operations Managers,Inventory management software,Inventory management software
General and Operations Managers,Job control language JCL,Operating system software
General and Operations Managers,Kronos Workforce Payroll,Time accounting software
General and Operations Managers,Kronos Workforce Timekeeper,Time accounting software
General and Operations Managers,LexisNexis,Information retrieval or search software
General and Operations Managers,LinkedIn,Web page creation and editing software
General and Operations Managers,LSA Visual Easy Lean,Materials requirements planning logistics and supply chain software
General and Operations Managers,Marketo Marketing Automation,Sales and marketing software
General and Operations Managers,Maximizer Software Maximizer Enterprise,Customer relationship management CRM software
General and Operations Managers,McAfee,Transaction security and virus protection software
General and Operations Managers,Microsoft Access,Data base user interface and query software
General and Operations Managers,Microsoft Dynamics,Enterprise resource planning ERP software
General and Operations Managers,Microsoft Dynamics GP,Enterprise resource planning ERP software
General and Operations Managers,Microsoft Excel,Spreadsheet software
General and Operations Managers,Microsoft Exchange Server,Electronic mail software
General and Operations Managers,Microsoft FrontPage,Web page creation and editing software
General and Operations Managers,Microsoft Internet Explorer,Internet browser software
General and Operations Managers,Microsoft Office,Office suite software
General and Operations Managers,Microsoft Outlook,Electronic mail software
General and Operations Managers,Microsoft PowerPoint,Presentation software
General and Operations Managers,Microsoft Project,Project management software
General and Operations Managers,Microsoft Publisher,Desktop publishing software
General and Operations Managers,Microsoft SharePoint,Project management software
General and Operations Managers,Microsoft SQL Server,Data base user interface and query software
General and Operations Managers,Microsoft Visio,Graphics or photo imaging software
General and Operations Managers,Microsoft Visual Basic,Development environment software
General and Operations Managers,Microsoft Visual Basic for Applications VBA,Development environment software
General and Operations Managers,Microsoft Windows,Operating system software
General and Operations Managers,Microsoft Word,Word processing software
General and Operations Managers,MicroStrategy,Business intelligence and data analysis software
General and Operations Managers,Minitab,Analytical or scientific software
General and Operations Managers,Mozilla Firefox,Internet browser software
General and Operations Managers,Mozilla Thunderbird,Electronic mail software
General and Operations Managers,Nagios,Network monitoring software
General and Operations Managers,NetSuite ERP,Enterprise resource planning ERP software
General and Operations Managers,NetSuite NetCRM,Customer relationship management CRM software
General and Operations Managers,Oracle Business Intelligence Enterprise Edition,Business intelligence and data analysis software
General and Operations Managers,Oracle E-Business Suite Financials,Financial analysis software
General and Operations Managers,Oracle Eloqua,Customer relationship management CRM software
General and Operations Managers,Oracle Fusion Applications,Enterprise resource planning ERP software
General and Operations Managers,Oracle Hyperion,Enterprise resource planning ERP software
General and Operations Managers,Oracle JD Edwards EnterpriseOne,Enterprise resource planning ERP software
General and Operations Managers,Oracle PeopleSoft,Enterprise resource planning ERP software
General and Operations Managers,Oracle PeopleSoft Financials,Enterprise resource planning ERP software
